Province_State,Confirmed,Deaths,Recovered,Death_Rate_%
Andaman and Nicobar Islands,5084,62,4980.0,1.22
Andhra Pradesh,903260,7220,887898.0,0.8
Arunachal Pradesh,16845,56,16785.0,0.33
Assam,218470,1107,215479.0,0.51
Bihar,266015,1578,262529.0,0.59
Chandigarh,27256,380,23925.0,1.39
Chhattisgarh,353804,4204,320613.0,1.19
Dadra and Nagar Haveli and Daman and Diu,3683,2,3490.0,0.05
Delhi,665220,11036,643686.0,1.66
Goa,58304,831,55757.0,1.43
Gujarat,310108,4528,292584.0,1.46
Haryana,292409,3164,278883.0,1.08
Himachal Pradesh,64014,1052,59741.0,1.64
Jammu and Kashmir,131421,1998,126549.0,1.52
Jharkhand,124891,1114,120425.0,0.89
Karnataka,1001238,12585,957769.0,1.26
Kerala,1127382,4632,1096239.0,0.41
Ladakh,10175,130,9778.0,1.28
Lakshadweep,726,1,688.0,0.14
Madhya Pradesh,298057,3998,276002.0,1.34
Maharashtra,2856163,54898,2433368.0,1.92
Manipur,29401,374,28963.0,1.27
Meghalaya,14067,150,13867.0,1.07
Mizoram,4484,11,4436.0,0.25
Nagaland,12345,92,12138.0,0.75
Odisha,341311,1921,337212.0,0.56
Puducherry,41728,683,39755.0,1.64
Punjab,242895,6926,211325.0,2.85
Rajasthan,334499,2822,322114.0,0.84
Sikkim,6241,135,6060.0,2.16
Tamil Nadu,889490,12738,859709.0,1.43
Telangana,309741,1706,301876.0,0.55
Tripura,33521,392,33070.0,1.17
Unknown,0,0,0.0,
Uttar Pradesh,619783,8820,599045.0,1.42
Uttarakhand,100911,1719,96956.0,1.7
West Bengal,588189,10331,571345.0,1.76
